Region,State,Metro,County,Code
New York,NY,New York,Queens,s00001
Los Angeles,CA,Los Angeles,Los Angeles,s00002
Chicago,IL,Chicago,Cook,s00003
Philadelphia,PA,Philadelphia,Philadelphia,s00004
Phoenix,AZ,Phoenix,Maricopa,s00005
Las Vegas,NV,Las Vegas,Clark,s00006
San Diego,CA,San Diego,San Diego,s00007
San Jose,CA,San Jose,Santa Clara,s00008
Jacksonville,FL,Jacksonville,Duval,s00009
San Francisco,CA,San Francisco,San Francisco,s00010
Columbus,OH,Columbus,Franklin,s00011
Detroit,MI,Detroit,Wayne,s00012
Charlotte,NC,Charlotte,Mecklenburg,s00013
Memphis,TN,Memphis,Shelby,s00014
Baltimore,MD,Baltimore,Baltimore City,s00015
Boston,MA,Boston,Suffolk,s00016
Seattle,WA,Seattle,King,s00017
Washington,DC,Washington,District of Columbia,s00018
Denver,CO,Denver,Denver,s00019
Nashville,TN,Nashville,Davidson,s00020
Milwaukee,WI,Milwaukee,Milwaukee,s00021
Portland,OR,Portland,Multnomah,s00022
Oklahoma City,OK,Oklahoma City,Oklahoma,s00023
Tucson,AZ,Tucson,Pima,s00024
Omaha,NE,Omaha,Douglas,s00025
Fresno,CA,Fresno,Fresno,s00026
Mesa,AZ,Phoenix,Maricopa,s00027
Long Beach,CA,Los Angeles,Los Angeles,s00028
Sacramento,CA,Sacramento,Sacramento,s00029
Virginia Beach,VA,Virginia Beach,Virginia Beach City,s00030
Colorado Springs,CO,Colorado Springs,El Paso,s00031
Atlanta,GA,Atlanta,Fulton,s00032
Miami,FL,Miami-Fort Lauderdale,Miami-Dade,s00033
Tulsa,OK,Tulsa,Tulsa,s00034
Cleveland,OH,Cleveland,Cuyahoga,s00035
Honolulu,HI,Honolulu,Honolulu,s00036
Oakland,CA,San Francisco,Alameda,s00037
Minneapolis,MN,Minneapolis-St Paul,Hennepin,s00038
Raleigh,NC,Raleigh,Wake,s00039
Bakersfield,CA,Bakersfield,Kern,s00040
Tampa,FL,Tampa,Hillsborough,s00041
Anaheim,CA,Los Angeles,Orange,s00042
Aurora,CO,Denver,Arapahoe,s00043
Santa Ana,CA,Los Angeles,Orange,s00044
Marietta,GA,Atlanta,Cobb,s00045
Pittsburgh,PA,Pittsburgh,Allegheny,s00046
Riverside,CA,Riverside,Riverside,s00047
Cincinnati,OH,Cincinnati,Hamilton,s00048
Saint Paul,MN,Minneapolis-St Paul,Ramsey,s00049
Silver Spring,MD,Washington,Montgomery,s00050
Toledo,OH,Toledo,Lucas,s00051
Tallahassee,FL,Tallahassee,Leon,s00052
Stockton,CA,Stockton,San Joaquin,s00053
Newark,NJ,New York,Essex,s00054
Lexington,KY,Lexington,Fayette,s00055
Modesto,CA,Modesto,Stanislaus,s00056
Durham,NC,Durham,Durham,s00057
Chandler,AZ,Phoenix,Maricopa,s00058
Pensacola,FL,Pensacola,Escambia,s00059
Henderson,NV,Las Vegas,Clark,s00060
Saint Petersburg,FL,Tampa,Pinellas,s00061
Mobile,AL,Mobile,Mobile,s00062
Orlando,FL,Orlando,Orange,s00063
Jersey City,NJ,New York,Hudson,s00064
Glendale,AZ,Phoenix,Maricopa,s00065
Greensboro,NC,Greensboro,Guilford,s00066
Louisville,KY,Louisville/Jefferson County,Jefferson,s00067
Corona,CA,Riverside,Riverside,s00068
Chula Vista,CA,San Diego,San Diego,s00069
Lincoln,NE,Lincoln,Lancaster,s00070
Fayetteville,NC,Fayetteville,Cumberland,s00071
Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,s00072
Lawrenceville,GA,Atlanta,Gwinnett,s00073
Town of Madison,WI,Madison,Dane,s00074
Fort Myers,FL,Fort Myers,Lee,s00075
San Bernardino,CA,Riverside,San Bernardino,s00076
Winston-Salem,NC,Winston-Salem,Forsyth,s00077
Chesapeake,VA,Virginia Beach,Chesapeake City,s00078
Birmingham,AL,Birmingham,Jefferson,s00079
Fontana,CA,Riverside,San Bernardino,s00080
Bradenton,FL,Sarasota,Manatee,s00081
Knoxville,TN,Knoxville,Knox,s00082
North Las Vegas,NV,Las Vegas,Clark,s00083
Reno,NV,Reno,Washoe,s00084
Montgomery,AL,Montgomery,Montgomery,s00085
Scottsdale,AZ,Phoenix,Maricopa,s00086
Santa Rosa,CA,Santa Rosa,Sonoma,s00087
Fremont,CA,San Francisco,Alameda,s00088
Oxnard,CA,Ventura,Ventura,s00089
Rochester,NY,Rochester,Monroe,s00090
Greenville,SC,Greenville,Greenville,s00091
Gilbert,AZ,Phoenix,Maricopa,s00092
Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,s00093
Arlington,VA,Washington,Arlington,s00094
Richmond,VA,Richmond,Richmond City,s00095
Grand Rapids Township,MI,Grand Rapids,Kent,s00096
Ocala,FL,Ocala,Marion,s00097
Irvine,CA,Los Angeles,Orange,s00098
Spokane,WA,Spokane,Spokane,s00099
Des Moines,IA,Des Moines,Polk,s00100
Oceanside,CA,San Diego,San Diego,s00101
Gainesville,FL,Gainesville,Alachua,s00102
Tacoma,WA,Seattle,Pierce,s00103
Akron,OH,Akron,Summit,s00104
Augusta,GA,Augusta,Richmond,s00105
Woodbridge,VA,Washington,Prince William,s00106
Huntington Beach,CA,Los Angeles,Orange,s00107
Glendale,CA,Los Angeles,Los Angeles,s00108
Moreno Valley,CA,Riverside,Riverside,s00109
Aurora,IL,Chicago,Kane,s00110
Rockford,IL,Rockford,Winnebago,s00111
Little Rock,AR,Little Rock,Pulaski,s00112
Grand Rapids,MI,Grand Rapids,Kent,s00113
Salinas,CA,Salinas,Monterey,s00114
Worcester,MA,Worcester,Worcester,s00115
Lancaster,CA,Los Angeles,Los Angeles,s00116
Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,s00117
Huntsville,AL,Huntsville,Madison,s00118
Fort Collins,CO,Fort Collins,Larimer,s00119
Providence,RI,Providence,Providence,s00120
Yonkers,NY,New York,Westchester,s00121
Garden Grove,CA,Los Angeles,Orange,s00122
Newport News,VA,Virginia Beach,Newport News City,s00123
Cape Coral,FL,Fort Myers,Lee,s00124
